version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 217114984434 eni-0a89c3c2096dd4124 192.241.204.129 10.0.95.122 45220 8082 6 1 40 1671125544 1671125546 ACCEPT OK
2 217114984434 eni-0d9e7523ccf155f70 104.156.229.103 10.0.6.134 123 45275 17 1 76 1671125545 1671125556 ACCEPT OK
2 217114984434 eni-0d9e7523ccf155f70 10.0.6.134 10.0.186.168 123 42558 17 1 76 1671125545 1671125556 ACCEPT OK
2 217114984434 eni-0d9e7523ccf155f70 155.248.196.28 10.0.6.134 123 55670 17 1 76 1671125545 1671125556 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 93.126.71.231 10.0.97.105 40106 45755 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.97.105 10.0.124.152 57600 80 6 7 509 1671125528 1671125550 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 93.126.71.231 10.0.97.105 40106 41281 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.97.105 10.0.43.103 1098 80 6 7 508 1671125528 1671125550 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.43.103 10.0.97.105 80 1098 6 7 23121 1671125528 1671125550 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 93.126.71.231 10.0.97.105 40106 55679 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.124.152 10.0.97.105 80 57600 6 7 23121 1671125528 1671125550 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 89.248.163.70 10.0.97.105 49194 14556 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 93.126.71.231 10.0.97.105 40106 33702 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 194.26.29.86 10.0.97.105 57215 8612 6 1 40 1671125528 1671125550 REJECT OK
2 217114984434 eni-0d9e7523ccf155f70 10.0.186.168 10.0.6.134 42558 123 17 1 76 1671125534 1671125534 ACCEPT OK
2 217114984434 eni-0a89c3c2096dd4124 43.131.66.209 10.0.95.122 11927 12268 6 1 52 1671125529 1671125531 ACCEPT OK
2 217114984434 eni-0a89c3c2096dd4124 - - - - - - - 1671125534 1671125566 - NODATA
2 217114984434 eni-0a89c3c2096dd4124 185.142.236.35 10.0.95.122 29011 1925 6 1 44 1671125515 1671125521 ACCEPT OK
2 217114984434 eni-0a89c3c2096dd4124 107.189.13.136 10.0.95.122 60483 5683 17 1 49 1671125515 1671125521 ACCEPT OK
2 217114984434 eni-0a89c3c2096dd4124 194.26.29.37 10.0.95.122 56944 2647 6 1 40 1671125546 1671125547 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 46.17.102.30 10.0.97.105 52903 9305 6 1 40 1671125560 1671125586 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.97.105 10.0.124.152 21750 80 6 7 509 1671125560 1671125586 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.124.152 10.0.97.105 80 28308 6 7 23121 1671125560 1671125586 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 162.142.125.190 10.0.97.105 35285 9991 6 1 44 1671125560 1671125586 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.97.105 10.0.124.152 28308 80 6 7 509 1671125560 1671125586 ACCEPT OK
2 217114984434 eni-0ff524ac4a90b207e 185.156.73.63 10.0.97.105 54500 6124 6 1 40 1671125560 1671125586 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 173.214.175.178 10.0.97.105 50018 999 6 1 40 1671125560 1671125586 REJECT OK
2 217114984434 eni-0ff524ac4a90b207e 10.0.124.152 10.0.97.105 80 21750 6 7 23121 1671125560 1671125586 ACCEPT OK
2 217114984434 eni-0d9e7523ccf155f70 167.99.141.206 10.0.6.134 48429 1337 6 1 44 1671125567 1671125567 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.11.198 172.58.141.25 80 26945 6 7 1236 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 175.155.109.247 10.0.11.198 33447 23 6 1 40 1671125566 1671125588 REJECT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.43.103 10.0.11.198 80 28500 6 7 23121 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.43.103 10.0.11.198 80 53580 6 7 23121 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.11.198 10.0.43.103 53580 80 6 8 560 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 172.58.141.25 10.0.11.198 26945 80 6 11 2809 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.124.152 10.0.11.198 80 55908 6 14 1903 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.11.198 10.0.124.152 55908 80 6 15 4801 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.43.103 10.0.11.198 80 6266 6 7 23121 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.11.198 10.0.43.103 6266 80 6 7 508 1671125566 1671125588 ACCEPT OK
2 217114984434 eni-0c289bb7e566180a4 10.0.11.198 10.0.43.103 28500 80 6 7 508 1671125566 1671125588 ACCEPT OK
